solo:LTR7:1	LTR7:1006	NA
solo:LTR7B:2	LTR7B:1041	NA
solo:LTR7C:3	LTR7C:1042	NA
solo:LTR7:4	LTR7:1050	NA
solo:LTR7B:5	LTR7B:1057	NA
solo:LTR7B:6	LTR7B:1058	NA
solo:LTR7:7	LTR7:1067	NA
solo:LTR7:8	LTR7:1068	NA
solo:LTR7C:9	LTR7C:1069	NA
solo:LTR7B:10	LTR7B:1070	NA
solo:LTR7B:10	LTR7B:1071	NA
solo:LTR7Y:11	LTR7Y:1072	NA
solo:LTR7B:12	LTR7B:782	NA
solo:LTR7C:13	LTR7C:783	NA
solo:LTR7:14	LTR7:784	NA
solo:LTR7:15	LTR7:785	NA
solo:LTR7C:16	LTR7C:788	NA
solo:LTR7B:17	LTR7B:789	NA
solo:LTR7:18	LTR7:798	NA
solo:LTR7:19	LTR7:799	NA
solo:LTR7B:20	LTR7B:800	NA
solo:LTR7:21	LTR7:812	NA
solo:LTR7:22	LTR7:813	NA
solo:LTR7:23	LTR7:819	NA
solo:LTR7Y:24	LTR7Y:827	NA
solo:LTR7B:25	LTR7B:834	NA
solo:LTR7:26	LTR7:835	NA
solo:LTR7:27	LTR7:836	NA
solo:LTR7:27	LTR7:837	NA
solo:LTR7B:28	LTR7B:845	NA
solo:LTR7C:29	LTR7C:846	NA
solo:LTR7:30	LTR7:847	NA
solo:LTR7:31	LTR7:848	NA
solo:LTR7:32	LTR7:857	NA
solo:LTR7C:33	LTR7C:873	NA
solo:LTR7B:34	LTR7B:764	NA
solo:LTR7B:35	LTR7B:765	NA
solo:LTR7:36	LTR7:895	NA
solo:LTR7B:37	LTR7B:896	NA
solo:LTR7:38	LTR7:897	NA
solo:LTR7:38	LTR7:898	NA
solo:LTR7:39	LTR7:910	NA
solo:LTR7:40	LTR7:911	NA
solo:LTR7:41	LTR7:912	NA
solo:LTR7C:42	LTR7C:919	NA
solo:LTR7:43	LTR7:920	NA
solo:LTR7:44	LTR7:937	NA
solo:LTR7:45	LTR7:954	NA
solo:LTR7B:46	LTR7B:969	NA
solo:LTR7:47	LTR7:970	NA
solo:LTR7:47	LTR7:971	NA
solo:LTR7B:48	LTR7B:972	NA
solo:LTR7Y:49	LTR7Y:977	NA
solo:LTR7:50	LTR7:1073	NA
solo:LTR7B:51	LTR7B:342	NA
solo:LTR7:52	LTR7:21	NA
solo:LTR7B:53	LTR7B:363	NA
solo:LTR7C:54	LTR7C:1453	NA
solo:LTR7B:55	LTR7B:1454	NA
solo:LTR7:56	LTR7:364	NA
solo:LTR7B:57	LTR7B:1455	NA
solo:LTR7B:58	LTR7B:1145	NA
solo:LTR7:59	LTR7:1462	NA
solo:LTR7:60	LTR7:1480	NA
solo:LTR7:61	LTR7:1481	NA
solo:LTR7Y:62	LTR7Y:1492	NA
solo:LTR7:63	LTR7:1146	NA
solo:LTR7C:64	LTR7C:388	NA
solo:LTR7:65	LTR7:1153	NA
solo:LTR7:66	LTR7:395	NA
solo:LTR7C:67	LTR7C:1154	NA
solo:LTR7C_LTR7B:68	LTR7C:1077	NA
solo:LTR7C_LTR7B:68	LTR7B:1078	NA
solo:LTR7:69	LTR7:1079	NA
solo:LTR7B:70	LTR7B:1177	NA
solo:LTR7B:71	LTR7B:1187	NA
solo:LTR7:72	LTR7:1196	NA
solo:LTR7C:73	LTR7C:1197	NA
solo:LTR7:74	LTR7:1208	NA
solo:LTR7C:75	LTR7C:1080	NA
solo:LTR7Y:76	LTR7Y:26	NA
solo:LTR7:77	LTR7:1074	NA
solo:LTR7:77	LTR7:1075	NA
solo:LTR7:78	LTR7:1076	NA
solo:LTR7:79	LTR7:1081	NA
solo:LTR7B:80	LTR7B:1223	NA
solo:LTR7:81	LTR7:1224	NA
solo:LTR7:82	LTR7:1230	NA
solo:LTR7:83	LTR7:1105	NA
solo:LTR7:84	LTR7:1237	NA
solo:LTR7B_LTR7:85	LTR7B:2	NA
solo:LTR7B_LTR7:85	LTR7:3	NA
solo:LTR7:86	LTR7:405	NA
solo:LTR7:87	LTR7:406	NA
solo:LTR7Y:88	LTR7Y:1245	NA
solo:LTR7B:89	LTR7B:407	NA
solo:LTR7B:90	LTR7B:408	NA
solo:LTR7B_LTR7:91	LTR7B:409	NA
solo:LTR7B_LTR7:91	LTR7:410	NA
solo:LTR7:92	LTR7:1246	NA
solo:LTR7:93	LTR7:1252	NA
solo:LTR7C:94	LTR7C:1253	NA
solo:LTR7A:95	LTR7A:1122	NA
solo:LTR7B:96	LTR7B:411	NA
solo:LTR7B:97	LTR7B:1254	NA
solo:LTR7B:98	LTR7B:412	NA
solo:LTR7B:99	LTR7B:413	NA
solo:LTR7Y:100	LTR7Y:1255	NA
solo:LTR7B:101	LTR7B:414	NA
solo:LTR7B:102	LTR7B:415	NA
solo:LTR7:103	LTR7:1265	NA
solo:LTR7B:104	LTR7B:1266	NA
solo:LTR7C:105	LTR7C:422	NA
solo:LTR7:106	LTR7:1137	NA
solo:LTR7C:107	LTR7C:423	NA
solo:LTR7B:108	LTR7B:424	NA
solo:LTR7C:109	LTR7C:433	NA
solo:LTR7B:110	LTR7B:434	NA
solo:LTR7:111	LTR7:1311	NA
solo:LTR7B:112	LTR7B:34	NA
solo:LTR7:113	LTR7:438	NA
solo:LTR7Y:114	LTR7Y:1321	NA
solo:LTR7:115	LTR7:1322	NA
solo:LTR7:115	LTR7:1323	NA
solo:LTR7:116	LTR7:446	NA
solo:LTR7B:117	LTR7B:1335	NA
solo:LTR7:118	LTR7:1336	NA
solo:LTR7:119	LTR7:447	NA
solo:LTR7:120	LTR7:1345	NA
solo:LTR7:121	LTR7:1346	NA
solo:LTR7:122	LTR7:448	NA
solo:LTR7:123	LTR7:457	NA
solo:LTR7:124	LTR7:1386	NA
solo:LTR7B:125	LTR7B:476	NA
solo:LTR7:126	LTR7:477	NA
solo:LTR7B:127	LTR7B:1402	NA
solo:LTR7B:128	LTR7B:482	NA
solo:LTR7:129	LTR7:1437	NA
solo:LTR7:130	LTR7:486	NA
solo:LTR7C:131	LTR7C:1445	NA
solo:LTR7Y:132	LTR7Y:487	NA
solo:LTR7B:133	LTR7B:35	NA
solo:LTR7C:134	LTR7C:1554	NA
solo:LTR7B:135	LTR7B:39	NA
solo:LTR7B_LTR7:136	LTR7B:495	NA
solo:LTR7B_LTR7:136	LTR7B:496	NA
solo:LTR7B_LTR7:136	LTR7:497	NA
solo:LTR7:137	LTR7:498	NA
solo:LTR7C:138	LTR7C:40	NA
solo:LTR7C:138	LTR7C:41	NA
solo:LTR7:139	LTR7:511	NA
solo:LTR7C:140	LTR7C:519	NA
solo:LTR7C:141	LTR7C:1931	NA
solo:LTR7B:142	LTR7B:1941	NA
solo:LTR7B:142	LTR7B:1942	NA
solo:LTR7:143	LTR7:1943	NA
solo:LTR7B:144	LTR7B:1944	NA
solo:LTR7B:145	LTR7B:1945	NA
solo:LTR7B:146	LTR7B:1952	NA
solo:LTR7B:147	LTR7B:531	NA
solo:LTR7B:148	LTR7B:1965	NA
solo:LTR7:149	LTR7:1966	NA
solo:LTR7B:150	LTR7B:1967	NA
solo:LTR7C:151	LTR7C:1968	NA
solo:LTR7C:152	LTR7C:532	NA
solo:LTR7C:153	LTR7C:1975	NA
solo:LTR7:154	LTR7:538	NA
solo:LTR7B:155	LTR7B:1976	NA
solo:LTR7B:156	LTR7B:1977	NA
solo:LTR7B:157	LTR7B:2007	NA
solo:LTR7B:157	LTR7B:2008	NA
solo:LTR7C:158	LTR7C:1645	NA
solo:LTR7C:158	LTR7C:1646	NA
solo:LTR7C:159	LTR7C:1658	NA
solo:LTR7:160	LTR7:42	NA
solo:LTR7:161	LTR7:1674	NA
solo:LTR7:162	LTR7:605	NA
solo:LTR7B:163	LTR7B:1707	NA
solo:LTR7:164	LTR7:618	NA
solo:LTR7B:165	LTR7B:641	NA
solo:LTR7:166	LTR7:1725	NA
solo:LTR7:167	LTR7:659	NA
solo:LTR7:168	LTR7:660	NA
solo:LTR7B:169	LTR7B:666	NA
solo:LTR7:170	LTR7:1732	NA
solo:LTR7B:171	LTR7B:1733	NA
solo:LTR7:172	LTR7:691	NA
solo:LTR7:173	LTR7:692	NA
solo:LTR7:174	LTR7:50	NA
solo:LTR7B:175	LTR7B:701	NA
solo:LTR7B:176	LTR7B:709	NA
solo:LTR7B:177	LTR7B:710	NA
solo:LTR7:178	LTR7:711	NA
solo:LTR7B:179	LTR7B:712	NA
solo:LTR7:180	LTR7:713	NA
solo:LTR7:181	LTR7:714	NA
solo:LTR7C:182	LTR7C:1741	NA
solo:LTR7:183	LTR7:723	NA
solo:LTR7B:184	LTR7B:1742	NA
solo:LTR7:185	LTR7:730	NA
solo:LTR7:186	LTR7:731	NA
solo:LTR7B:187	LTR7B:1756	NA
solo:LTR7B:188	LTR7B:732	NA
solo:LTR7C_LTR7B:189	LTR7C:733	NA
solo:LTR7C_LTR7B:189	LTR7B:734	NA
solo:LTR7:190	LTR7:735	NA
solo:LTR7C:191	LTR7C:736	NA
solo:LTR7:192	LTR7:1761	NA
solo:LTR7B:193	LTR7B:737	NA
solo:LTR7C:194	LTR7C:1766	NA
solo:LTR7Y:195	LTR7Y:1779	NA
solo:LTR7B:196	LTR7B:1780	NA
solo:LTR7:197	LTR7:1801	NA
solo:LTR7:198	LTR7:1807	NA
solo:LTR7:199	LTR7:1810	NA
solo:LTR7:200	LTR7:1811	NA
solo:LTR7:201	LTR7:1820	NA
solo:LTR7B:202	LTR7B:1821	NA
solo:LTR7B:203	LTR7B:1577	NA
solo:LTR7:204	LTR7:1833	NA
solo:LTR7:204	LTR7:1834	NA
solo:LTR7:205	LTR7:1835	NA
solo:LTR7:206	LTR7:1860	NA
solo:LTR7:207	LTR7:1868	NA
solo:LTR7:208	LTR7:1898	NA
solo:LTR7B:209	LTR7B:1587	NA
solo:LTR7B:210	LTR7B:54	NA
solo:LTR7C:211	LTR7C:1915	NA
solo:LTR7:212	LTR7:2311	NA
solo:LTR7C:213	LTR7C:2312	NA
solo:LTR7C:214	LTR7C:2313	NA
solo:LTR7C:215	LTR7C:2314	NA
solo:LTR7B:216	LTR7B:2038	NA
solo:LTR7B:216	LTR7B:2039	NA
solo:LTR7B:217	LTR7B:2040	NA
solo:LTR7B:218	LTR7B:2041	NA
solo:LTR7:219	LTR7:2042	NA
solo:LTR7C:220	LTR7C:2043	NA
solo:LTR7B:221	LTR7B:2044	NA
solo:LTR7:222	LTR7:2045	NA
solo:LTR7:223	LTR7:2046	NA
solo:LTR7:224	LTR7:2047	NA
solo:LTR7:225	LTR7:2062	NA
solo:LTR7:226	LTR7:2070	NA
solo:LTR7B:227	LTR7B:2071	NA
solo:LTR7B:228	LTR7B:2084	NA
solo:LTR7B:229	LTR7B:2085	NA
solo:LTR7:230	LTR7:2086	NA
solo:LTR7:230	LTR7:2087	NA
solo:LTR7:231	LTR7:2096	NA
solo:LTR7B:232	LTR7B:78	NA
solo:LTR7:233	LTR7:83	NA
solo:LTR7:234	LTR7:2122	NA
solo:LTR7B:235	LTR7B:2127	NA
solo:LTR7:236	LTR7:2128	NA
solo:LTR7C:237	LTR7C:2144	NA
solo:LTR7:238	LTR7:2152	NA
solo:LTR7B:239	LTR7B:2160	NA
solo:LTR7C:240	LTR7C:2173	NA
solo:LTR7B:241	LTR7B:2174	NA
solo:LTR7B:242	LTR7B:2199	NA
solo:LTR7B:242	LTR7B:2200	NA
solo:LTR7:243	LTR7:2201	NA
solo:LTR7:244	LTR7:2202	NA
solo:LTR7:245	LTR7:84	NA
solo:LTR7:246	LTR7:85	NA
solo:LTR7:247	LTR7:2218	NA
solo:LTR7C:248	LTR7C:2232	NA
solo:LTR7:249	LTR7:2233	NA
solo:LTR7:250	LTR7:2242	NA
solo:LTR7:251	LTR7:2243	NA
solo:LTR7:252	LTR7:2268	NA
solo:LTR7:252	LTR7:2269	NA
solo:LTR7:253	LTR7:2286	NA
solo:LTR7:254	LTR7:2287	NA
solo:LTR7:255	LTR7:2295	NA
solo:LTR7B:256	LTR7B:2296	NA
solo:LTR7B:257	LTR7B:2315	NA
solo:LTR7B:257	LTR7B:2316	NA
solo:LTR7B:258	LTR7B:103	NA
solo:LTR7:259	LTR7:2559	NA
solo:LTR7:260	LTR7:2578	NA
solo:LTR7:261	LTR7:2317	NA
solo:LTR7C:262	LTR7C:2330	NA
solo:LTR7Y:263	LTR7Y:2331	NA
solo:LTR7C:264	LTR7C:2332	NA
solo:LTR7C:265	LTR7C:2342	NA
solo:LTR7C:265	LTR7C:2343	NA
solo:LTR7B:266	LTR7B:2350	NA
solo:LTR7Y:267	LTR7Y:2356	NA
solo:LTR7C:268	LTR7C:2364	NA
solo:LTR7Y:269	LTR7Y:2365	NA
solo:LTR7:270	LTR7:2366	NA
solo:LTR7:271	LTR7:2373	NA
solo:LTR7:272	LTR7:118	NA
solo:LTR7B:273	LTR7B:2374	NA
solo:LTR7:274	LTR7:2420	NA
solo:LTR7C:275	LTR7C:2421	NA
solo:LTR7:276	LTR7:2422	NA
solo:LTR7B:277	LTR7B:2423	NA
solo:LTR7:278	LTR7:119	NA
solo:LTR7B:279	LTR7B:2428	NA
solo:LTR7B:280	LTR7B:2429	NA
solo:LTR7B:281	LTR7B:126	NA
solo:LTR7:282	LTR7:2487	NA
solo:LTR7C:283	LTR7C:2488	NA
solo:LTR7C:283	LTR7C:2489	NA
solo:LTR7:284	LTR7:2490	NA
solo:LTR7:285	LTR7:135	NA
solo:LTR7B:286	LTR7B:2507	NA
solo:LTR7B:286	LTR7B:2508	NA
solo:LTR7C:287	LTR7C:2509	NA
solo:LTR7:288	LTR7:2523	NA
solo:LTR7:289	LTR7:2524	NA
solo:LTR7B:290	LTR7B:2525	NA
solo:LTR7:291	LTR7:2581	NA
solo:LTR7C:292	LTR7C:2586	NA
solo:LTR7B:293	LTR7B:2595	NA
solo:LTR7:294	LTR7:2596	NA
solo:LTR7C:295	LTR7C:2597	NA
solo:LTR7C:296	LTR7C:2598	NA
solo:LTR7B:297	LTR7B:136	NA
solo:LTR7B:297	LTR7B:137	NA
solo:LTR7B:298	LTR7B:2599	NA
solo:LTR7:299	LTR7:2600	NA
solo:LTR7:300	LTR7:145	NA
solo:LTR7B:301	LTR7B:2601	NA
solo:LTR7:302	LTR7:149	NA
solo:LTR7Y:303	LTR7Y:2611	NA
solo:LTR7:304	LTR7:2612	NA
solo:LTR7:305	LTR7:150	NA
solo:LTR7B_LTR7:306	LTR7B:2635	NA
solo:LTR7B_LTR7:306	LTR7:2636	NA
solo:LTR7:307	LTR7:2643	NA
solo:LTR7B:308	LTR7B:2644	NA
solo:LTR7:309	LTR7:2645	NA
solo:LTR7B:310	LTR7B:2646	NA
solo:LTR7B:311	LTR7B:2655	NA
solo:LTR7B:312	LTR7B:2656	NA
solo:LTR7:313	LTR7:2669	NA
solo:LTR7B:314	LTR7B:2674	NA
solo:LTR7B:315	LTR7B:2675	NA
solo:LTR7Y:316	LTR7Y:2676	NA
solo:LTR7:317	LTR7:2677	NA
solo:LTR7B:318	LTR7B:2678	NA
solo:LTR7B:319	LTR7B:168	NA
solo:LTR7:320	LTR7:169	NA
